"country_code","year","gdp_nominal","gdp_per_capita_nominal","gdp_ppp","gdp_per_capita_ppp","gdp_ppp_share","gdp_growth"
"NGA",2019,474.498,2361.108,1123.348,5589.795,0.806,2.2
"NGA",2020,432.716,2099.135,1145.673,5557.74,0.824,-1.8
"PHL",2019,376.823,3512.195,988.832,9216.444,0.709,6.1
"PHL",2020,361.751,3312.739,923.367,8455.74,0.664,-9.5
"CHE",2019,721.89,84481.041,632.69,74042.073,0.454,1.2
"CHE",2020,741.311,86138.871,630.065,73212.322,0.453,-2.3
"IDN",2019,1119.1,4192.768,3266.186,12236.943,2.342,5
"IDN",2020,1059.055,3919.465,3223.405,11929.526,2.317,-2.1
"VNM",2019,331.818,3439.102,1071.756,11108.123,0.769,7.4
"VNM",2020,346.31,3548.892,1138.632,11668.385,0.818,2.9
"KEN",2019,100.328,2107.735,240.007,5042.165,0.172,5.1
"KEN",2020,100.912,2067.987,250.232,5127.992,0.18,-0.3
"ECU",2019,107.596,6199.031,217.496,12530.832,0.156,0.2
"ECU",2020,95.865,5469.758,202.25,11539.698,0.145,-9.2
"USA",2019,21539.975,65561.32,21539.975,65561.32,15.448,2.6
"USA",2020,21354.125,64461.618,21354.125,64461.618,15.349,-2.2
"BFA",2019,16.031,765.132,46.783,2232.881,0.034,5.5
"BFA",2020,17.754,824.248,51.145,2374.434,0.037,1.9
"IND",2019,2835.606,2050.163,9932.849,7181.522,7.124,3.9
"IND",2020,2674.852,1915.552,9771.023,6997.36,7.023,-5.8
"CMR",2019,39.673,1533.161,108.174,4180.421,0.078,3.4
"CMR",2020,40.863,1539.354,114.508,4313.605,0.082,0.5
"MYS",2019,365.178,11228.293,967.568,29750.268,0.694,4.4
"MYS",2020,337.456,10400.219,931.106,28696.214,0.669,-5.5
"UKR",2019,154.14,3693.498,604.396,14482.52,0.433,3.2
"UKR",2020,156.579,3780.393,656.106,15840.806,0.472,-3.8
"TGO",2019,6.993,848.341,18.743,2273.8,0.013,4.9
"TGO",2020,7.4,876.511,20.402,2416.58,0.015,2
"BRA",2019,1873.286,9010.512,3333.776,16035.469,2.391,1.2
"BRA",2020,1476.092,7057.072,3359.777,16062.817,2.415,-3.3
"PRT",2019,240.013,23333.408,389.286,37845.218,0.279,2.7
"PRT",2020,228.849,22224.61,369.406,35874.813,0.266,-8.3
"MNE",2019,5.543,NA,15.016,NA,0.011,4.1
"MNE",2020,4.777,NA,13.05,NA,0.009,-15.3
"NLD",2019,929.006,53755.165,1081.371,62571.485,0.776,2.3
"NLD",2020,931.814,53529.218,1091.779,62718.576,0.785,-3.9
"TZA",2019,58.797,1043.939,164.885,2927.514,0.118,6.9
"TZA",2020,63.373,1092.613,186.62,3217.527,0.134,4.5
"GHA",2019,68.352,2265.705,187.633,6219.567,0.135,6.5
"GHA",2020,70.005,2274.469,192.835,6265.228,0.139,0.5
"CHN",2019,14340.6,10170.061,24404.032,17306.842,17.502,6
"CHN",2020,14862.564,10525.001,25547.101,18091.31,18.363,2.2
"LKA",2019,89.015,4082.694,307.705,14112.953,0.221,-0.2
"LKA",2020,84.304,3846.175,283.652,12940.904,0.204,-4.6
"COL",2019,323.055,6540.141,807.591,16349.418,0.579,3.2
"COL",2020,270.348,5363.235,785.737,15587.65,0.565,-7.2
"HKG",2019,363.075,48277.982,459.644,61118.848,0.33,-1.7
"HKG",2020,344.941,46446.056,435.301,58612.912,0.313,-6.5
"ARG",2019,446.762,9941.59,1057.633,23535.013,0.759,-2
"ARG",2020,385.218,8489.332,1011.999,22302.151,0.727,-9.9
"DEU",2019,3957.645,47629.1,4924.979,59270.69,3.532,1
"DEU",2020,3936.989,47341.768,4880.368,58685.778,3.508,-4.1
"LVA",2019,34.229,17828.071,63.72,33187.953,0.046,0.6
"LVA",2020,34.363,18013.227,64.108,33605.287,0.046,-3.5
"BEN",2019,14.392,1171.015,40.076,3260.769,0.029,6.9
"BEN",2020,15.674,1239.74,42.407,3354.18,0.03,3.8
"ESP",2019,1403.651,29798.124,2075.23,44055.069,1.488,2
"ESP",2020,1288.751,27214.292,1862.545,39330.971,1.339,-10.9
"DNK",2019,345.402,59489.614,352.325,60682.02,0.253,1.7
"DNK",2020,355.631,61075.932,365.525,62775.249,0.263,-1.8
"GBR",2019,2853.074,42712.614,3335.878,49940.539,2.392,1.6
"GBR",2020,2698.705,40230.545,3219.069,47987.784,2.314,-10.3
"BTN",2019,2.618,3547.477,9.464,12823.226,0.007,4.6
"BTN",2020,2.586,3469.154,9.884,13261.552,0.007,-2.5
"MEX",2019,1305.2,10259.746,2638.742,20742.271,1.892,-0.4
"MEX",2020,1120.832,8742.217,2453.576,19137.29,1.764,-8.4
"THA",2019,543.879,7811.477,1427.827,20507.22,1.024,2.1
"THA",2020,500.501,7170.503,1372.919,19669.331,0.987,-6.1
"FRA",2019,2723.094,41831.481,3445.275,52925.444,2.471,2.1
"FRA",2020,2645.806,40536.857,3345.026,51249.728,2.404,-7.6
"ZAF",2019,389.245,6582.757,796.183,13464.726,0.571,0.3
"ZAF",2020,337.876,5630.983,767.391,12789.212,0.552,-6.2
"TUN",2019,41.905,3556.377,148.377,12592.25,0.106,1.6
"TUN",2020,42.494,3569.972,142.71,11989.274,0.103,-9
"SVN",2019,53.916,25909.807,88.492,42525.562,0.063,3.5
"SVN",2020,53.342,25451.13,87.812,41897.915,0.063,-4.1
"CAN",2019,1743.725,46430.975,1899.695,50584.055,1.362,1.9
"CAN",2020,1655.685,43573.195,1847.839,48630.152,1.328,-5
"ITA",2019,2019.83,33767.005,2787.073,46593.584,1.999,0.4
"ITA",2020,1905.954,31956.855,2641.204,44284.674,1.899,-8.9
"CHL",2019,278.04,14551.577,491.688,25733.104,0.353,0.6
"CHL",2020,254.06,13056.638,491.062,25236.623,0.353,-6.1
"BGD",2019,351.238,2154.227,997.25,6116.365,0.715,7.9
"BGD",2020,373.902,2270.348,1104.316,6705.448,0.794,3.4
"AUS",2019,1388.092,54391.307,1367.848,53598.066,0.981,1.8
"AUS",2020,1364.828,53249.731,1381.255,53890.665,0.993,-2.1
"KOR",2019,1751.046,33826.944,2407.645,46511.218,1.727,2.3
"KOR",2020,1744.456,33653.204,2481.996,47881.492,1.784,-0.7
"LTU",2019,54.831,19623.637,113.414,40590.098,0.081,4.6
"LTU",2020,56.873,20348.942,114.967,41134.624,0.083,0.1
"SLV",2019,26.881,4280.298,60.71,9666.825,0.044,2.4
"SLV",2020,24.921,3960.335,58.56,9306.08,0.042,-7.9
"KWT",2019,140.855,31549.877,225.239,50450.879,0.162,2.3
"KWT",2020,111.048,25610.725,182.443,42076.157,0.131,-4.8
"RWA",2019,10.349,836.286,29.847,2411.965,0.021,9.4
"RWA",2020,10.174,803.456,29.853,2357.497,0.021,-3.4
"PER",2019,233.004,7251.682,449.103,13977.26,0.322,2.2
"PER",2020,206.461,6328.104,422.98,12964.509,0.304,-10.9
"SRB",2019,51.514,7417.206,136.744,19688.953,0.098,4.3
"SRB",2020,53.356,7733.803,138.44,20066.296,0.1,-0.9
